Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-07-16 11:15,LX_PRB,22946,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
1,Entry long,2025-07-16 11:15,Long_PRB,22959.5,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
2,Exit long,2025-07-23 10:10,LX_PRB,23147.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
2,Entry long,2025-07-23 10:10,Long_PRB,23159.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
3,Exit short,2025-07-25 10:05,SX_PRB,23402,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
3,Entry short,2025-07-25 10:05,Short_PRB,23400,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
4,Exit short,2025-07-28 10:05,SX_A,23526.25,26,1222546,-851.24,-0.07,139.88,0.01,-835.12,-0.07,-1759.52,-3.52,1
4,Entry short,2025-07-28 10:00,Short_A,23510.5,26,1222546,-851.24,-0.07,139.88,0.01,-835.12,-0.07,-1759.52,-3.52,1
5,Exit long,2025-07-29 11:05,LX_A,23512.75,27,1270512,-856.98,-0.07,766.26,0.06,-840.24,-0.07,-2616.5,-5.23,2
5,Entry long,2025-07-29 10:55,Long_A,23528,27,1270512,-856.98,-0.07,766.26,0.06,-840.24,-0.07,-2616.5,-5.23,2
6,Exit short,2025-08-07 10:20,SX_PRB,23559.25,10,473085,1887.6,0.40,1893.8,0.40,-36.2,-0.01,-728.9,-1.46,3
6,Entry short,2025-08-07 10:05,Short_PRB,23654.25,10,473085,1887.6,0.40,1893.8,0.40,-36.2,-0.01,-728.9,-1.46,3
7,Exit short,2025-08-08 10:25,SX_PRB,23666.5,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,-751.52,-1.50,1
7,Entry short,2025-08-08 10:20,Short_PRB,23666.25,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,-751.52,-1.50,1
8,Exit short,2025-08-11 10:10,SX_A,23749.25,17,806684,-811.58,-0.10,99.96,0.01,-801.04,-0.10,-1563.1,-3.13,2
8,Entry short,2025-08-11 10:00,Short_A,23726,17,806684,-811.58,-0.10,99.96,0.01,-801.04,-0.10,-1563.1,-3.13,2
9,Exit long,2025-08-12 10:05,LX_A,23703.5,9,425947.5,704.34,0.17,709.92,0.17,-109.08,-0.03,-858.76,-1.72,1
9,Entry long,2025-08-12 10:00,Long_A,23663.75,9,425947.5,704.34,0.17,709.92,0.17,-109.08,-0.03,-858.76,-1.72,1
10,Exit long,2025-08-13 10:45,LX_PRB,23953.75,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,-883.12,-1.77,1
10,Entry long,2025-08-13 10:40,Long_PRB,23954,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,-883.12,-1.77,1
11,Exit long,2025-08-18 10:25,LX_A,23822.5,10,475655,782.6,0.16,788.8,0.17,-486.2,-0.10,-100.52,-0.20,5
11,Entry long,2025-08-18 10:00,Long_A,23782.75,10,475655,782.6,0.16,788.8,0.17,-486.2,-0.10,-100.52,-0.20,5
12,Exit long,2025-08-29 11:20,LX_A,23490,13,609706.5,1017.38,0.17,1025.44,0.17,-177.06,-0.03,916.86,1.83,4
12,Entry long,2025-08-29 11:00,Long_A,23450.25,13,609706.5,1017.38,0.17,1025.44,0.17,-177.06,-0.03,916.86,1.83,4
13,Exit short,2025-09-03 10:10,SX_A,23393.75,14,656138,1095.64,0.17,1104.32,0.17,-519.68,-0.08,2012.5,4.03,1
13,Entry short,2025-09-03 10:05,Short_A,23433.5,14,656138,1095.64,0.17,1104.32,0.17,-519.68,-0.08,2012.5,4.03,1
14,Exit short,2025-09-11 10:35,SX_A,24004.5,8,383340,-741.92,-0.19,187.04,0.05,-736.96,-0.19,1270.58,2.54,5
14,Entry short,2025-09-11 10:10,Short_A,23958.75,8,383340,-741.92,-0.19,187.04,0.05,-736.96,-0.19,1270.58,2.54,5
15,Exit long,2025-09-17 10:25,LX_A,24445.75,14,685293,-829.36,-0.12,159.32,0.02,-820.68,-0.12,441.22,0.88,3
15,Entry long,2025-09-17 10:10,Long_A,24474.75,14,685293,-829.36,-0.12,159.32,0.02,-820.68,-0.12,441.22,0.88,3
16,Exit short,2025-09-22 10:20,SX_A,24890.25,14,696150,-794.36,-0.11,103.32,0.01,-785.68,-0.11,-353.14,-0.71,2
16,Entry short,2025-09-22 10:10,Short_A,24862.5,14,696150,-794.36,-0.11,103.32,0.01,-785.68,-0.11,-353.14,-0.71,2
17,Exit long,2025-09-23 10:20,LX_PRB,24940.25,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,-379.24,-0.76,2
17,Entry long,2025-09-23 10:10,Long_PRB,24940.5,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,-379.24,-0.76,2
18,Exit short,2025-09-30 11:15,SX_PRB,24806,20,994240,1975.2,0.20,1987.6,0.20,-52.4,-0.01,1595.96,3.19,1
18,Entry short,2025-09-30 11:10,Short_PRB,24856,20,994240,1975.2,0.20,1987.6,0.20,-52.4,-0.01,1595.96,3.19,1
19,Exit short,2025-11-04 10:50,SX_PRB,25818.5,15,776490,1916.4,0.25,1925.7,0.25,-226.8,-0.03,3512.36,7.02,2
19,Entry short,2025-11-04 10:40,Short_PRB,25883,15,776490,1916.4,0.25,1925.7,0.25,-226.8,-0.03,3512.36,7.02,2
20,Exit short,2025-11-05 10:05,SX_PRB,25697.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,3094.04,6.19,0
20,Entry short,2025-11-05 10:05,Short_PRB,25686.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,3094.04,6.19,0
21,Exit short,2025-11-17 10:00,SX_A,25159.75,7,352793,547.82,0.16,552.16,0.16,-235.34,-0.07,3641.86,7.28,1
21,Entry short,2025-11-17 09:55,Short_A,25199.5,7,352793,547.82,0.16,552.16,0.16,-235.34,-0.07,3641.86,7.28,1
22,Exit long,2025-11-18 10:20,LX_PRB,24525.5,12,586662,1935.12,0.33,1942.56,0.33,-199.44,-0.03,5576.98,11.15,1
22,Entry long,2025-11-18 10:15,Long_PRB,24444.25,12,586662,1935.12,0.33,1942.56,0.33,-199.44,-0.03,5576.98,11.15,1
23,Exit short,2025-11-25 11:20,SX_PRB,24875.75,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,5166.1,10.33,0
23,Entry short,2025-11-25 11:20,Short_PRB,24859.25,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,5166.1,10.33,0
24,Exit long,2025-11-26 10:20,LX_PRB,25150.75,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,5148.7,10.30,3
24,Entry long,2025-11-26 10:05,Long_PRB,25151,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,5148.7,10.30,3
